just_date,Subject,count
2021-05-22,[Skidos] Please reset your password,139
2021-05-23,[Skidos] Please reset your password,144
2021-05-24,[Skidos] Please reset your password,122
2021-05-25,[Skidos] Please reset your password,144
2021-05-26,[Skidos] Please reset your password,154
2021-05-27,[Skidos] Please reset your password,128
2021-05-28,[Skidos] Please reset your password,127
2021-05-29,[Skidos] Please reset your password,136
2021-05-30,[Skidos] Please reset your password,132
2021-05-31,[Skidos] Please reset your password,115
2021-06-01,[Skidos] Please reset your password,175
2021-06-02,[Skidos] Please reset your password,127
2021-06-03,[Skidos] Please reset your password,123
2021-06-04,[Skidos] Please reset your password,127
2021-06-05,[Skidos] Please reset your password,132
2021-06-06,[Skidos] Please reset your password,170
2021-06-07,[Skidos] Please reset your password,121
2021-06-08,[Skidos] Please reset your password,116
2021-06-09,[Skidos] Please reset your password,123
2021-06-10,[Skidos] Please reset your password,118
2021-06-11,[Skidos] Please reset your password,221
2021-06-12,[Skidos] Please reset your password,233
2021-06-13,[Skidos] Please reset your password,307
2021-06-14,[Skidos] Please reset your password,282
2021-06-15,[Skidos] Please reset your password,242
2021-06-16,[Skidos] Please reset your password,206
2021-06-17,[Skidos] Please reset your password,300
2021-06-18,[Skidos] Please reset your password,224
2021-06-19,[Skidos] Please reset your password,272
2021-06-20,[Skidos] Please reset your password,314
2021-06-21,[Skidos] Please reset your password,91
